Generation,AI_Kills,Player_Kills,Average_AI_Health,Player_Mousetraps
1,0,0,100.0,0.0
2,5,0,88.0,0.0
3,9,0,90.0,0.0
4,11,0,95.0,0.0
5,11,0,95.0,0.0
6,12,0,100.0,0.0
7,12,0,100.0,1.0
8,12,0,100.0,1.0
9,12,0,100.0,1.0
10,12,0,100.0,2.0
11,12,0,100.0,2.0
12,12,0,100.0,2.0
13,12,0,100.0,3.0
14,12,0,100.0,3.0
15,12,0,100.0,3.0
16,12,0,100.0,4.0
17,12,0,100.0,4.0
18,12,0,100.0,4.0
19,12,1,100.0,5.0
20,12,1,100.0,5.0
21,12,1,100.0,6.0
22,12,1,100.0,6.0
23,13,1,100.0,6.0
24,13,1,100.0,6.0
25,13,1,100.0,6.0
26,13,1,100.0,6.0
27,13,1,100.0,7.0
28,13,1,100.0,7.0
29,13,1,100.0,8.0
30,13,2,100.0,8.0
31,13,2,100.0,8.0
32,13,2,100.0,9.0
33,13,3,100.0,9.0
34,13,3,100.0,9.0
35,13,3,100.0,10.0
36,13,3,100.0,10.0
37,13,3,100.0,11.0
38,13,3,100.0,11.0
39,13,3,100.0,11.0
40,14,4,100.0,12.0
41,14,4,100.0,12.0
42,14,4,100.0,12.0
43,14,4,100.0,13.0
44,14,4,100.0,13.0
45,14,4,100.0,13.0
46,14,4,100.0,14.0
47,14,4,100.0,14.0
48,14,5,100.0,15.0
49,14,5,100.0,15.0
